,year,month,rainy_days,total_rainfall,max_daily_rainfall,mean_rh,min_daily_temp,max_daily_temp,mean_sunshine_hrs,extr_max_temp,extr_min_temp
278,2005,3,12,82.4,20.5,80.3,25.4,33.3,7.2,35.0,23.0
279,2005,4,10,81.7,49.6,81.0,25.7,33.0,7.0,35.1,23.0
280,2005,5,20,331.1,58.7,84.6,25.2,32.4,5.5,35.4,22.6
281,2005,6,15,82.3,27.6,82.7,26.1,32.0,5.4,33.9,23.6
282,2005,7,15,104.0,26.3,84.0,25.2,31.4,5.4,33.9,21.3
283,2005,8,13,58.5,13.8,82.9,25.5,31.5,6.5,33.6,22.5
284,2005,9,18,175.7,43.4,84.2,25.2,32.0,6.2,33.1,21.8
285,2005,10,19,314.5,76.2,85.2,24.7,31.3,5.1,33.0,23.0
286,2005,11,23,362.9,133.8,86.4,24.4,30.8,4.4,33.6,22.6
287,2005,12,19,166.0,47.3,85.6,24.6,31.0,4.5,33.5,22.0
288,2006,1,20,454.4,131.7,87.8,24.1,30.0,4.8,32.0,22.1
289,2006,2,8,115.5,44.5,84.0,24.8,31.5,7.4,33.3,23.3
290,2006,3,9,83.1,35.7,81.3,25.2,33.1,7.1,34.6,23.6
291,2006,4,18,239.8,43.3,87.0,24.8,32.1,5.3,34.1,23.4
292,2006,5,14,205.7,36.6,85.2,25.4,32.0,5.0,33.8,23.6
293,2006,6,16,236.8,37.3,86.3,25.1,31.0,5.5,32.7,23.0
294,2006,7,15,153.8,54.8,83.8,25.7,31.5,6.9,33.1,22.6
295,2006,8,14,127.3,30.4,81.9,25.5,31.5,6.7,33.1,22.1
296,2006,9,12,83.3,32.2,81.0,25.4,31.4,5.3,32.8,22.7
297,2006,10,8,102.0,37.8,80.9,25.4,32.2,4.8,33.6,23.5
298,2006,11,18,185.6,64.0,87.4,24.5,31.4,5.6,33.2,23.5
299,2006,12,22,765.9,198.0,88.5,24.3,30.0,3.2,32.7,22.4
300,2007,1,20,450.1,143.8,86.8,24.2,29.8,4.1,32.7,23.1
301,2007,2,3,105.5,51.4,82.5,24.5,31.5,7.6,33.3,23.3
302,2007,3,21,269.1,68.8,84.9,24.6,31.5,5.8,33.5,22.5
303,2007,4,14,240.2,102.4,84.7,25.2,32.0,5.9,33.7,22.2
304,2007,5,16,127.2,21.9,84.8,25.3,31.6,5.5,33.4,22.7
305,2007,6,12,139.0,38.0,82.8,25.4,32.1,6.0,34.0,21.8
306,2007,7,19,141.7,23.0,84.8,25.1,30.6,3.8,33.0,22.6
307,2007,8,20,190.7,55.9,82.9,25.0,30.9,5.7,32.5,22.9
